,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.0038347644731402397,0.7149122807017544,0.42894736842105263,0.5361842105263158,0.9737277479981471,35.7615,16.834,0.28,1.0,411,,,,,,,
1,,,,,,,,,1.22,500,0.0086,1.5907928388746805e-05,,,,,
2,0.0032438146881759167,0.7147766323024055,0.5473684210526316,0.6199701937406856,0.9775660115147905,35.7225,16.852,0.28,2.0,822,,,,,,,
3,,,,,,,,,2.43,1000,0.0029,1.0792838874680308e-05,,,,,
4,0.003138835309073329,0.6684782608695652,0.6473684210526316,0.6577540106951871,0.9780292502150751,36.3376,16.567,0.275,3.0,1233,,,,,,,
5,,,,,,,,,3.65,1500,0.002,5.677749360613811e-06,,,,,
6,0.003248649649322033,0.680628272251309,0.6842105263157895,0.6824146981627297,0.9788895506584607,35.9939,16.725,0.278,4.0,1644,,,,,,,
7,,,,,,,,,4.87,2000,0.0013,5.626598465473146e-07,,,,,
8,0.0033183663617819548,0.680628272251309,0.6842105263157895,0.6824146981627297,0.9784924889153597,35.5264,16.945,0.281,5.0,2055,,,,,,,
9,,,,,,,,,5.0,2055,,,10188.7159,3.223,0.202,4290725385216000.0,0.003645460760796447
