,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.0030573029071092606,0.7477396021699819,0.6135014836795252,0.67400162999185,0.976838064985772,36.5365,16.477,0.274,1.0,411,,,,,,,
1,,,,,,,,,1.22,500,0.0058,1.5907928388746805e-05,,,,,
2,0.002754693850874901,0.7776866283839212,0.7032640949554896,0.7386053759252045,0.9804116206736814,37.686,15.974,0.265,2.0,822,,,,,,,
3,,,,,,,,,2.43,1000,0.0023,1.0792838874680308e-05,,,,,
4,0.0027810223400592804,0.7419122933141624,0.7655786350148368,0.7535596933187295,0.9800807358877639,37.2617,16.156,0.268,3.0,1233,,,,,,,
5,,,,,,,,,3.65,1500,0.0015,5.677749360613811e-06,,,,,
6,0.0029665117617696524,0.7471181556195965,0.7692878338278932,0.7580409356725146,0.9804116206736814,35.8086,16.812,0.279,4.0,1644,,,,,,,
7,,,,,,,,,4.87,2000,0.0009,5.626598465473146e-07,,,,,
8,0.003108198521658778,0.7483777937995674,0.7700296735905044,0.7590493601462523,0.9805439745880484,38.6115,15.591,0.259,5.0,2055,,,,,,,
9,,,,,,,,,5.0,2055,,,6308.88,5.205,0.326,4290647805050880.0,0.002587674938849289
