/Users/christineschafer/Documents/Uni-Kram/Masterarbeit/Repos/metaphor_in_political_speeches/venv/bin/python /Users/christineschafer/Documents/Uni-Kram/Masterarbeit/Repos/metaphor_in_political_speeches/src/mwe_metaphor/controller/bert_training_controller.py
Some weights of DistilBertForTokenClassification were not initialized from the model checkpoint at distilbert-base-german-cased and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
  1%|          | 10/1233 [00:29<1:00:07,  2.95s/it]{'loss': 0.196, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.02}
  2%|▏         | 20/1233 [00:59<59:32,  2.95s/it]{'loss': 0.1672, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.05}
  2%|▏         | 30/1233 [01:28<59:04,  2.95s/it]{'loss': 0.1684, 'learning_rate': 3e-06, 'epoch': 0.07}
  3%|▎         | 40/1233 [01:58<58:48,  2.96s/it]{'loss': 0.1623, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.1}
  4%|▍         | 50/1233 [02:28<58:15,  2.95s/it]{'loss': 0.1522, 'learning_rate': 5e-06, 'epoch': 0.12}
  5%|▍         | 60/1233 [02:58<57:49,  2.96s/it]{'loss': 0.1288, 'learning_rate': 6e-06, 'epoch': 0.15}
  6%|▌         | 70/1233 [03:26<55:48,  2.88s/it]{'loss': 0.1116, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.17}
  6%|▋         | 80/1233 [03:55<55:09,  2.87s/it]{'loss': 0.0636, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.19}
  7%|▋         | 90/1233 [07:16<3:40:35, 11.58s/it]{'loss': 0.0281, 'learning_rate': 9e-06, 'epoch': 0.22}
  8%|▊         | 100/1233 [07:45<59:41,  3.16s/it]{'loss': 0.0197, 'learning_rate': 1e-05, 'epoch': 0.24}
  9%|▉         | 110/1233 [08:15<55:16,  2.95s/it]{'loss': 0.0148, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.27}
 10%|▉         | 120/1233 [08:44<54:01,  2.91s/it]{'loss': 0.012, 'learning_rate': 1.2e-05, 'epoch': 0.29}
 11%|█         | 130/1233 [09:13<54:21,  2.96s/it]{'loss': 0.0124, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.32}
 11%|█▏        | 140/1233 [09:43<53:50,  2.96s/it]{'loss': 0.0162, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.34}
 12%|█▏        | 150/1233 [10:13<53:34,  2.97s/it]{'loss': 0.013, 'learning_rate': 1.5e-05, 'epoch': 0.36}
 13%|█▎        | 160/1233 [10:42<52:21,  2.93s/it]{'loss': 0.0138, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.39}
 14%|█▍        | 170/1233 [11:11<51:24,  2.90s/it]{'loss': 0.0126, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.41}
 15%|█▍        | 180/1233 [11:40<51:37,  2.94s/it]{'loss': 0.0126, 'learning_rate': 1.8e-05, 'epoch': 0.44}
 15%|█▌        | 190/1233 [12:09<50:10,  2.89s/it]{'loss': 0.0121, 'learning_rate': 1.9e-05, 'epoch': 0.46}
 16%|█▌        | 200/1233 [12:38<49:53,  2.90s/it]{'loss': 0.0118, 'learning_rate': 2e-05, 'epoch': 0.49}
 17%|█▋        | 210/1233 [13:07<49:16,  2.89s/it]{'loss': 0.0142, 'learning_rate': 2.1e-05, 'epoch': 0.51}
 18%|█▊        | 220/1233 [13:36<49:17,  2.92s/it]{'loss': 0.0126, 'learning_rate': 2.2000000000000003e-05, 'epoch': 0.54}
